canonical_competency,original_ability_count,supply_occurrences,demand_occurrences,source_balance,dictionary_status,original_ability_examples
船舶建造制造与质量能力,342,27,396,双端共有,confirmed,船舶建造项目管理能力 | 船体生产设计能力 | 船舶产品质量检验能力 | 船舶分段生产管理能力 | 船舶机械加工能力 | 船舶海工生产管理能力 | 船舶管系生产设计能力 | 船舶结构与设备维护能力 | 单船项目建造管理能力 | 海工船舶检验能力 | 船体工艺管理能力 | 船体建造现场管理能力 | 船体检验管理能力 | 船舶与压力容器无损探伤检测能力 | 船舶与海洋工程设计制造能力
港航物流与航运业务能力,242,99,179,双端共有,confirmed,智能航运技术应用能力 | 航运市场分析能力 | 航运业务运营管理能力 | 船舶代理业务管理能力 | 物流与供应链管理能力 | 船舶结构与货运管理能力 | 船舶货运与积载能力 | 船舶配载与客户服务能力 | 供应链管理能力 | 国际海运物流管理能力 | 国际物流全程管理能力 | 智能航运技术能力 | 港口船舶调度管理能力 | 物流系统规划与设计能力 | 航运市场分析与客户管理能力
海洋能源与海上风电工程能力,218,29,229,双端共有,confirmed,海上风电项目管理能力 | 海上风电施工技术管理能力 | 海上风电施工管理能力 | 接收站现场工艺操作能力 | 海上风电安全防控能力 | 海上风电现场安全管理能力 | 海上风电项目安全管理能力 | 海上风电项目施工管理能力 | 海上升压站结构工程设计能力 | 海上能源勘测能力 | 海上风电变压器产品研发设计能力 | 海上风电安全管理能力 | 海上风电工程安全管理能力 | 海上风电工程现场管理能力 | 海上风电市场开发能力
港口航道水运工程能力,224,62,188,双端共有,confirmed,港口航道工程设计能力 | 港口航道工程施工管理能力 | 港口航道工程项目管理能力 | 水运工程设计能力 | 港口工程项目管理能力 | 港口航道工程施工技术管理能力 | 港口工程测量能力 | 港口工程现场管理能力 | 港口支干航线操作与订舱管理能力 | 港口航道与海岸工程综合能力 | 港口航道工程施工技术与质量管理能力 | 港口航道工程设计咨询能力 | 港口规划与管理能力 | 港航工程施工管理能力 | 码头工程施工管理能力
数字化工具与软件应用能力,187,214,27,双端共有,confirmed,现代工程工具与信息技术应用能力 | 嵌入式系统开发能力 | 现代工具使用能力 | 现代工程工具使用能力 | 现代工程工具应用能力 | 计算机与信息技术应用能力 | 人工智能与机器学习能力 | 人工智能应用能力 | 现代信息技术应用能力 | 现代工具应用能力 | 计算机与数据分析能力 | 人工智能与机器学习应用能力 | 嵌入式系统开发与设计能力 | 控制算法开发能力 | 机器学习与模式识别能力
船舶电气自动化能力,176,52,174,双端共有,confirmed,船舶电气详细设计能力 | 船舶电气与自动化控制能力 | 船舶电气设备调试能力 | 船舶电气设计能力 | 船舶电气质量检验能力 | 船舶电气工程能力 | 船舶电气工程设计能力 | 船舶电气生产设计能力 | 船舶自动化系统集成能力 | 船舶轮机电气设计能力 | 轮机自动化与监控能力 | 船舶电力推进器结构设计能力 | 船舶电力推进电机控制器软件开发能力 | 船舶电气图纸设计能力 | 船舶电气安装调试能力
科研实验创新实践能力,159,217,7,双端共有,confirmed,自主学习与终身学习能力 | 自主学习和终身学习能力 | 终身学习与自主发展能力 | 工程实践与创新能力 | 终身学习与自我发展能力 | 终身学习与自主学习能力 | 终身学习能力 | 轮机工程实践操作能力 | 轮机工程实验研究能力 | 创新与创业能力 | 船舶与海洋工程实践能力 | 船舶与海洋工程研究能力 | 创新与批判性思维能力 | 创新与科研能力 | 工程实践与实习能力
船舶运营安全管理能力,174,64,153,双端共有,confirmed,船舶海务管理能力 | 船舶机务管理能力 | 船舶管理能力 | 船舶安全与应急处理能力 | 船舶安全管理能力 | 船员管理与培训能力 | 船舶与人员安全管理能力 | 船舶制造精益培训与文化建设能力 | 船舶应急与事故处理能力 | 船舶操纵与避碰能力 | 船舶焊缝探伤标准应用与设备操作能力 | 船舶生产安全管理能力 | 船舶甲板作业能力 | 船舶航行与驾驶能力 | 船舶设备安全管理能力
团队沟通国际化能力,150,167,41,双端共有,confirmed,团队协作与沟通能力 | 轮机英语应用能力 | 跨文化沟通与国际视野 | 团队合作与沟通能力 | 国际视野与跨文化沟通能力 | 团队协作与跨文化沟通能力 | 多学科团队协作能力 | 团队协作与组织管理能力 | 团队协作与领导能力 | 国际视野与跨文化交流能力 | 团队协作与终身学习能力 | 团队合作与组织管理能力 | 国际化视野与交流能力 | 国际视野与学术交流能力 | 多学科团队协作与沟通能力
船舶设计研发能力,162,50,157,双端共有,confirmed,船舶总体设计能力 | 船舶外观设计能力 | 船舶结构详细设计能力 | 船舶舾装设计能力 | 船体结构详细设计能力 | 船舶与海洋工程设计能力 | 船舶与海洋工程问题分析能力 | 船舶内装设计能力 | 船舶流体力学与性能分析能力 | 船舶结构规范计算能力 | 船体结构强度分析能力 | 船体送审设计能力 | 船舶与海工结构设计能力 | 船舶与海洋工程专业知识应用能力 | 船舶与海洋工程综合能力
