side,source_file,source_index,job_title,occupation_name,ability,canonical_competency,coding_status,merge_rationale,evidence
demand,,10,产品ui设计师,海洋工程技术人员,海洋环境仿真产品界面设计能力,海洋环境监测评价治理能力,confirmed,海洋环境监测、评价与治理合并,负责决策支持类产品、海洋环境仿真高保真界面设计。
demand,,13,海上风电场群规划设计平台研发工程师,海洋工程技术人员,海上风电场群规划设计平台研发能力,海洋能源与海上风电工程能力,confirmed,海上风电、海洋能源和涉海能源合并,参与海上风电场群规划设计平台的设计规范、集成规范、业务标准的的设计及制定；负责平台研制、各专业模块的集成融合以及个业务模块的调试；参与风机排布、升压站选址规划设计核心算法的研究及研发。
demand,,7,电气主管2人/电气技工2人,船舶制造人员,船舶电气工程管理能力,船舶电气自动化能力,confirmed,对象为船舶电气自动化系统,电气主管：要求5年以上船舶制造电气生产管理、现场调试指导经验；电气设计审图；项目工程管理；质量控制；成本控制。
demand,,7,电气主管2人/电气技工2人,船舶制造人员,船舶电气施工调试能力,船舶电气自动化能力,confirmed,对象为船舶电气自动化系统,电气技工：要求5年以上船舶电气现场施工经验，能熟练识别电气施工图纸；船舶电气工程施工：安装和测试不同规格的电路板、电子设备、控制系统。
demand,,3,海务主管,道路和水上运输工程技术人员,船舶海务综合管理能力,船舶运营安全管理能力,confirmed,对象为船舶运营、安全与船员服务,全面负责分管船舶的海务管理工作；保持对分管船舶的日常跟踪；参与修订与本部门有关的体系文件；定期进行访船、跟船检查和/专项检查；及时做好PSC/FSC等检查的预检工作；参与船岸应急演习和船岸应急反应。
demand,,1,船员部助理,海洋服务人员,船员服务管理能力,船舶运营安全管理能力,confirmed,对象为船舶运营、安全与船员服务,协助船员部经理完成公司系统的内容输入；办理船员签证、申办船员外籍证书。
demand,,6,船舶驾驶员,船舶指挥和引航人员,内河船舶驾驶能力,船舶运营安全管理能力,confirmed,对象为船舶运营、安全与船员服务,熟练掌握驾驶技术、熟悉船舶操作及靠泊；持有中国海事局核发的内河船舶适认证书；拥有珠江水系或里水河流域驾驶航行资质。
demand,,9,锚固工程师,海洋工程技术人员,海上系泊系统设计与仿真分析能力,数字化工具与软件应用能力,confirmed,通用信息技术、软件和数字工具合并,负责水面光伏电站系泊系统的研究及设计；负责多工况下系泊系统风浪流耦合仿真分析；负责不同工况下光伏电站环境载荷计算方法研究；负责为水面光伏项目提供锚固系泊方案、图纸和技术资料。
demand,,14,智能化项目经理,海洋工程技术人员,港口航运智能化项目管理能力,港口机电与智慧港口能力,confirmed,港口机电设备和智慧港口技术合并,挖掘燃料供应链及港口、航运等智能化升级的需求痛点、前瞻性及集团内部共性技术项目，联合外部供应商、高校和研发机构，推动产品智能化项目的落地实施。
demand,,15,业务管理,船舶指挥和引航人员,航运业务与市场管理能力,港航物流与航运业务能力,confirmed,港航物流、海运业务和运输组织合并,船舶租船揽货、市场开拓以及运费/租金、滞期/速遣费等费用的核算；租船合同起草、报批、签订、归档；客户开发与维护；航运市场信息的收集和分析。
demand,,24,产品主管 (MJ001941),水产技术人员,对虾养殖疾病防控与产品支持能力,水产养殖渔业技术能力,confirmed,水产养殖、病害、育种和渔业技术合并,负责为南美白对虾养殖相关客户提供检测服务及疾病防控方案；支持市场营销事务；为新产品的开发导入需求，提供产品设计相关支持。
demand,,44,轮机主管,船舶制造人员,轮机安装调试管理能力,船舶轮机动力能力,confirmed,对象为船舶轮机与动力系统,组织并落实轮机安装调试和零件加工等生产施工任务，监管班组生产任务完成情况
demand,,44,轮机主管,船舶制造人员,轮机生产现场管理能力,船舶轮机动力能力,confirmed,对象为船舶轮机与动力系统,按产品的质量和工艺标准组织生产，并对生产过程进行管理，并及时解决生产中的施工问题；合理调配生产现场的人、材、物，定期对生产过程进行分析，实现提效降本
demand,,34,工程技术总监,船舶制造人员,船舶海工产业园区规划设计能力,船舶设计研发能力,confirmed,对象为船舶设计、研发与工程分析,负责新建产业园规划工作：整体产能规划/产业园平面布置/厂房概念设计/产线设计与布局/设备设施配置设计/重大技改项目方案
demand,,34,工程技术总监,船舶制造人员,船舶海工生产制造精益管理能力,船舶建造制造与质量能力,confirmed,对象为船舶建造、修造、质量与设备维护,负责精益生产（IE）工作；负责技改工作；负责焊接核心工艺、设备研究与管理工作；负责涂装核心工艺、设备研究与管理工作；负责设备设施运维管理工作
demand,,34,工程技术总监,船舶制造人员,船舶海工科技项目管理能力,船舶建造制造与质量能力,confirmed,对象为船舶建造、修造、质量与设备维护,负责科技管理：国家、省市区等政府科研项目申报；科技研发项目立项及管理；结题评审组织管理；科研成果评审与成果转化管理
demand,,43,生产主管（海工板块）,船舶制造人员,船舶海工生产现场管理能力,船舶建造制造与质量能力,confirmed,对象为船舶建造、修造、质量与设备维护,可组织现场生产管理，做好人机料法环的调配，及时跟踪生产进度，处理异常；熟悉现场5S管理、精益生产管理的工具方法
demand,,38,电机控制软件工程师,海洋工程技术人员,船舶电力推进电机控制算法开发能力,船舶电气自动化能力,confirmed,对象为船舶电气自动化系统,完成公司的船舶电力推进系统之电机控制器软件的方案，软件架构，电机控制算法，应用控制策略等设计与开发
demand,,38,电机控制软件工程师,海洋工程技术人员,船舶电力推进电机控制器软件开发能力,船舶电气自动化能力,confirmed,对象为船舶电气自动化系统,根据产品功能要求，完成电机控制算法（FOC），控制逻辑的代码编写、测试和优化；熟悉电机控制算法如FOC算法，滑膜控制，预测控制，PID算法等
demand,,38,电机控制软件工程师,海洋工程技术人员,船舶电力推进系统仿真能力,船舶电气自动化能力,confirmed,对象为船舶电气自动化系统,负责电机控制模型开发，支持整机和电力推进系统仿真工作
demand,,46,轮机放样工程师（国际事业部）,海洋工程技术人员,船舶管系生产设计能力,船舶建造制造与质量能力,confirmed,对象为船舶建造、修造、质量与设备维护,主要负责公务船、巡逻船、旅游船等类型船舶管系专业生产设计工作，包括并不限于管系材料统计；管系三维建模、设备基座出图，现场施工问题处理
demand,,48,船舶外观内装设计,海洋工程技术人员,船舶外观设计能力,船舶设计研发能力,confirmed,对象为船舶设计、研发与工程分析,负责船舶外观设计；负责国内外先进船型资料的收集、整理；精通犀牛、CAD、3Dmax、PS
demand,,47,船体质检员,船舶制造人员,船体质量检验能力,船舶建造制造与质量能力,confirmed,对象为船舶建造、修造、质量与设备维护,从事船舶产品的质量检验，熟悉船级社的规范、通晓船体施工流程和施工工艺；负责编制船体项目检验表，实施造船过程中的质量检验
demand,,51,货代业务员,道路和水上运输工程技术人员,港口物流业务操作能力,港口航道水运工程能力,confirmed,港口航道、水运与近海工程合并,主要负责公司进出口业务港口代理、仓储、运输、保险、船代、租船及加工配送等物流业务的单证操作、客户开发、现场管理和客户服务等工作
demand,,51,货代业务员,道路和水上运输工程技术人员,港航业务协调沟通能力,港口航道水运工程能力,confirmed,港口航道、水运与近海工程合并,保持与集团内部、物流公司、货主、船东、船方、码头等良好沟通协调，完成公司分配和布置的各项任务
demand,,55,对虾养殖助理（通威渔业）,渔业生产人员,对虾工厂化养殖管理能力,水产养殖渔业技术能力,confirmed,水产养殖、病害、育种和渔业技术合并,参与对虾养殖的日常管理（投喂、水质监测、疾病防控、设备检查等）；负责实施生产实验，提出流程和标准优化建议
demand,,49,船舶外观内装设计,船舶制造人员,船舶外观设计能力,船舶设计研发能力,confirmed,对象为船舶设计、研发与工程分析,负责船舶外观设计；负责国内外先进船型资料的收集、整理；精通犀牛、CAD、3Dmax、PS
